Governorate,Delegation,Locality,Nature,Type of Real Estate,Surface,Price,Inserted On
Tunis,El Hrairia,El Hrairia,Sale,Houses,250.0,640000.0,07/11/2023
Nabeul,Hammamet,Hammamet,Rental,2-room apartment,80.0,850.0,13/11/2023
Sousse,Sousse Jaouhara,Sousse Jaouhara,Rental,3-room apartment,85.0,1000.0,16/11/2023
Sousse,Sidi Bou Ali,Sidi Bou Ali,Land,Agricultural land,241.0,48200.0,30/05/2023
Tunis,La Marsa,La Marsa,Offices & Shops,Office,55.0,1000.0,02/03/2023
Nabeul,Hammamet,Hammamet,Rental,3-room apartment,100.0,1600.0,09/11/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,420.0,1200000.0,10/10/2023
Ariana,La Soukra,La Soukra,Rental,2-room apartment,1.0,1500.0,28/08/2023
Sousse,Sousse Ville,Sousse Ville,Land,Vacant land,446.0,669000.0,31/10/2021
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,Sale,Surfaces,440.0,66000.0,21/10/2023
Nabeul,Kelibia,Kelibia,Sale,Houses,459.0,1190000.0,16/11/2023
Tunis,Cite El Khadra,Cite El Khadra,Offices & Shops,Office,200.0,3000.0,17/05/2022
Ariana,La Soukra,La Soukra,Sale,3-room apartment,75.0,280000.0,30/11/2022
Ariana,Raoued,Raoued,Sale,3-room apartment,97.0,178000.0,09/04/2023
Tunis,La Marsa,La Marsa,Land,Vacant land,268.0,540000.0,16/06/2023
Ariana,Ariana Ville,Ariana Ville,Rental,1-room apartment,1.0,750.0,30/11/2023
Ariana,Ariana Ville,Ariana Ville,Sale,Houses,543.0,1400000.0,19/11/2023
Nabeul,Hammamet,Hammamet,Sale,1-room apartment,100.0,275000.0,14/07/2023
Sousse,Akouda,Akouda,Land,Agricultural land,5670.0,311850.0,14/12/2022
Tunis,Bab Souika,Bab Souika,Rental,3-room apartment,100.0,550.0,12/09/2023
Tunis,La Marsa,La Marsa,Offices & Shops,Office,166.0,5000.0,13/11/2023
Tunis,Cite El Khadra,Cite El Khadra,Offices & Shops,Office,255.0,6000.0,03/12/2021
Nabeul,Hammamet,Hammamet,Sale,Houses,480.0,1180000.0,31/10/2023
Nabeul,Dar Chaabane Elfehri,Dar Chaabane Elfehri,Sale,3-room apartment,150.0,300000.0,23/06/2023
Zaghouan,Bir Mcherga,Bir Mcherga,Land,Agricultural land,170000.0,590000.0,11/10/2023
Nabeul,Hammamet,Hammamet,Land,Vacant land,1100.0,770000.0,27/02/2023
Mahdia,Mahdia,Mahdia,Rental,2-room apartment,80.0,650.0,07/11/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Sale,3-room apartment,90.0,255000.0,26/10/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,193.0,280000.0,22/11/2023
Sousse,Hammam Sousse,Hammam Sousse,Sale,3-room apartment,120.0,450000.0,05/10/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,370.0,980000.0,11/10/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,420.0,1200000.0,02/11/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,1000.0,1600000.0,24/11/2023
Zaghouan,Bir Mcherga,Bir Mcherga,Land,Agricultural land,85000.0,1000000.0,17/02/2023
Sousse,Sousse Jaouhara,Sousse Jaouhara,Rental,Other,80.0,350.0,31/10/2023
Ariana,Ariana Ville,Ariana Ville,Rental,Surfaces,50.0,1300.0,10/08/2023
Ben arous,El Mourouj,El Mourouj,Rental,Surfaces,130.0,6750.0,09/11/2023
Tunis,La Marsa,La Marsa,Offices & Shops,Office,445.0,11000.0,25/01/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,350.0,720000.0,06/11/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Rental,3-room apartment,1.0,1600.0,21/12/2022
Ariana,Sidi Thabet,Sidi Thabet,Sale,Houses,435.0,480000.0,05/12/2023
Nabeul,Hammamet,Hammamet,Vacation rental,2-room apartment,63.0,250.0,21/08/2023
Tunis,La Marsa,La Marsa,Rental,Houses,1.0,7000.0,06/01/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,240.0,840000.0,21/09/2023
Sousse,Akouda,Akouda,Land,Vacant land,477.0,219420.0,01/04/2022
Ariana,Ariana Ville,Ariana Ville,Rental,1-room apartment,50.0,380.0,12/11/2023
Manouba,Mannouba,Mannouba,Rental,2-room apartment,110.0,750.0,16/10/2023
Ariana,Ariana Ville,Ariana Ville,Rental,Houses,600.0,1500.0,07/10/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Rental,4-room apartment,1.0,1900.0,08/09/2023
Tunis,La Marsa,La Marsa,Rental,4-room apartment,150.0,2500.0,07/11/2023
Tunis,Bab Bhar,Bab Bhar,Offices & Shops,Office,85.0,1150.0,11/01/2022
Sousse,Sousse Jaouhara,Sousse Jaouhara,Rental,3-room apartment,100.0,750.0,05/10/2023
Ariana,Ariana Ville,Ariana Ville,Offices & Shops,Office,100.0,365.0,28/09/2023
Tunis,La Marsa,La Marsa,Rental,5-room apartment and more,1.0,10000.0,23/06/2023
Ariana,La Soukra,La Soukra,Land,Vacant land,905.0,995500.0,07/10/2023
Nabeul,Kelibia,Kelibia,Land,Vacant land,180.0,27000.0,30/10/2023
Nabeul,Hammamet,Hammamet,Land,Agricultural land,1200.0,312000.0,01/05/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Rental,4-room apartment,1.0,2200.0,11/04/2023
Ariana,Ariana Ville,Ariana Ville,Rental,Other,110.0,800.0,14/08/2023
Ariana,Ariana Ville,Ariana Ville,Rental,1-room apartment,75.0,1600.0,23/11/2023
Ariana,La Soukra,La Soukra,Rental,2-room apartment,1.0,1100.0,26/06/2023
Nabeul,Soliman,Soliman,Sale,Surfaces,281.0,260000.0,20/07/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,909.0,3900000.0,05/10/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Rental,3-room apartment,100.0,1200.0,30/11/2023
Tunis,Bab Bhar,Bab Bhar,Sale,2-room apartment,55.0,75000.0,30/11/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,1000.0,365000.0,21/09/2023
Ben arous,Rades,Rades,Land,Vacant land,6000.0,4500000.0,08/09/2023
Nabeul,Kelibia,Kelibia,Land,Agricultural land,3081.0,160000.0,30/11/2023
Nabeul,Hammamet,Hammamet,Vacation rental,Houses,1.0,450.0,27/03/2023
Ariana,Raoued,Raoued,Land,Vacant land,404.0,196000.0,19/09/2023
Ben arous,El Mourouj,El Mourouj,Offices & Shops,Office,2000.0,3800000.0,14/06/2023
Sousse,Akouda,Akouda,Sale,Houses,480.0,230000.0,05/07/2022
Sousse,Sousse Jaouhara,Sousse Jaouhara,Rental,Duplex,110.0,900.0,03/11/2023
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,Sale,3-room apartment,110.0,260000.0,22/10/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,350.0,720000.0,01/12/2023
Sousse,Akouda,Akouda,Land,Vacant land,2357.0,900000.0,11/03/2022
Tunis,La Marsa,La Marsa,Rental,Houses,480.0,9000.0,11/07/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Rental,4-room apartment,172.0,1800.0,29/10/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,200.0,780000.0,08/09/2023
Tunis,El Kram,El Kram,Land,Vacant land,385.0,1200000.0,30/11/2023
Ariana,La Soukra,La Soukra,Rental,5-room apartment and more,130.0,700.0,07/09/2023
Ben arous,El Mourouj,El Mourouj,Sale,4-room apartment,75.0,135000.0,21/10/2023
Nabeul,Beni Khiar,Beni Khiar,Land,Vacant land,313.0,172000.0,05/12/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,200.0,690000.0,04/12/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Rental,3-room apartment,1.0,1700.0,16/10/2023
Ariana,Ariana Ville,Ariana Ville,Rental,4-room apartment,150.0,1300.0,27/11/2023
Sousse,Sidi Bou Ali,Sidi Bou Ali,Land,Agricultural land,4700.0,158000.0,27/06/2022
Tunis,Le Bardo,Le Bardo,Rental,3-room apartment,1.0,750.0,01/12/2023
Sousse,Hergla,Hergla,Land,Vacant land,700.0,581000.0,21/05/2022
Ariana,Ariana Ville,Ariana Ville,Rental,3-room apartment,170.0,1400.0,06/09/2023
Ariana,Raoued,Raoued,Offices & Shops,Business property,90.0,150000.0,07/08/2023
Tunis,Bab Souika,Bab Souika,Rental,3-room apartment,130.0,550.0,13/09/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Rental,4-room apartment,1.0,3000.0,10/01/2023
Bizerte,Menzel Jemil,Menzel Jemil,Vacation rental,1-room apartment,40.0,500.0,21/04/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Rental,Houses,600.0,6500.0,01/12/2023
Ariana,Raoued,Raoued,Rental,3-room apartment,71.0,500.0,02/12/2023
Sousse,Hammam Sousse,Hammam Sousse,Rental,Houses,1000.0,3500.0,21/08/2023
Ariana,Ariana Ville,Ariana Ville,Sale,2-room apartment,70.0,180000.0,18/11/2023
Sfax,Sakiet Ezzit,Sakiet Ezzit,Offices & Shops,Office,2000.0,999.0,14/08/2022
Nabeul,Hammamet,Hammamet,Sale,Houses,1020.0,2200000.0,13/10/2023
Sousse,Akouda,Akouda,Land,Agricultural land,336.0,100800.0,13/10/2022
Ben arous,Mohamadia,Mohamadia,Land,Vacant land,3386.0,1015800.0,08/11/2023
Beja,Beja Nord,Beja Nord,Sale,4-room apartment,132.0,250000.0,29/11/2023
Ariana,Mnihla,Mnihla,Sale,Houses,560.0,1300000.0,17/09/2023
Tunis,La Marsa,La Marsa,Sale,Houses,300.0,630000.0,13/09/2023
Tunis,La Marsa,La Marsa,Rental,3-room apartment,80.0,900.0,27/10/2023
Tunis,La Marsa,La Marsa,Rental,2-room apartment,80.0,3000.0,13/12/2021
Sousse,Kalaa El Kebira,Kalaa El Kebira,Sale,Surfaces,1800.0,850000.0,13/08/2023
Tunis,Le Bardo,Le Bardo,Rental,1-room apartment,100.0,1200.0,03/12/2023
Beja,Testour,Testour,Land,Agricultural land,15000.0,35000.0,19/11/2023
Nabeul,Hammamet,Hammamet,Land,Vacant land,1200.0,1440000.0,18/11/2023
Nabeul,Kelibia,Kelibia,Sale,Houses,365.0,1490000.0,16/11/2023
Tunis,Bab Bhar,Bab Bhar,Offices & Shops,Office,80.0,1300.0,16/09/2021
Tunis,Bab Bhar,Bab Bhar,Sale,3-room apartment,70.0,235000.0,19/06/2023
Tunis,La Goulette,La Goulette,Rental,3-room apartment,130.0,850.0,26/10/2023
Sousse,Sousse Riadh,Sousse Riadh,Land,Vacant land,250.0,150000.0,14/09/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,296.0,780000.0,29/09/2023
Ben arous,El Mourouj,El Mourouj,Sale,4-room apartment,155.0,340000.0,06/11/2023
Nabeul,Hammamet,Hammamet,Rental,Other,700.0,4000.0,11/09/2023
Tunis,La Marsa,La Marsa,Rental,Duplex,120.0,2000.0,22/11/2023
Sousse,Hammam Sousse,Hammam Sousse,Sale,1-room apartment,45.0,170000.0,14/03/2023
Ariana,La Soukra,La Soukra,Rental,4-room apartment,1.0,3000.0,06/07/2023
Bizerte,Bizerte Nord,Bizerte Nord,Sale,Surfaces,70.0,40000.0,16/05/2023
Ariana,Raoued,Raoued,Rental,3-room apartment,70.0,400.0,06/10/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,342.0,950000.0,16/09/2023
Ariana,Raoued,Raoued,Sale,Houses,400.0,650000.0,05/05/2023
Ben arous,Ben Arous,Ben Arous,Rental,5-room apartment and more,150.0,950.0,20/11/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Offices & Shops,Surfaces,128.0,3500.0,03/10/2023
Tunis,La Marsa,La Marsa,Rental,5-room apartment and more,1.0,3000.0,04/12/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Sale,2-room apartment,60.0,180000.0,23/11/2023
Tunis,Bab Souika,Bab Souika,Sale,Other,40.0,150000.0,05/07/2023
Nabeul,Hammamet,Hammamet,Rental,3-room apartment,80.0,1200.0,06/02/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Rental,4-room apartment,1.0,2200.0,17/11/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Rental,Duplex,250.0,2800.0,25/10/2023
Tunis,Cite El Khadra,Cite El Khadra,Offices & Shops,Office,100.0,2200.0,01/08/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,995.0,2000000.0,23/03/2023
Tunis,Carthage,Carthage,Rental,Houses,800.0,9000.0,02/11/2022
Nabeul,Nabeul,Nabeul,Land,Vacant land,200.0,30000.0,11/11/2023
Ariana,La Soukra,La Soukra,Rental,Surfaces,80.0,900.0,06/12/2023
Nabeul,Kelibia,Kelibia,Sale,Houses,310.0,850000.0,18/11/2023
Tunis,Le Bardo,Le Bardo,Sale,Houses,439.0,750000.0,06/06/2023
Tunis,El Menzah,El Menzah,Sale,Duplex,125.0,360000.0,04/10/2023
Ben arous,El Mourouj,El Mourouj,Sale,2-room apartment,77.0,165000.0,05/09/2023
Tunis,Cite El Khadra,Cite El Khadra,Offices & Shops,Office,107.0,2000.0,05/01/2023
Tunis,Bab Bhar,Bab Bhar,Sale,3-room apartment,75.0,135000.0,25/10/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,840.0,2000000.0,22/09/2023
Nabeul,Kelibia,Kelibia,Sale,Houses,260.0,330000.0,23/09/2022
Medenine,Djerba - Midoun,Djerba - Midoun,Land,Vacant land,300.0,30000.0,31/10/2023
Ariana,Ariana Ville,Ariana Ville,Rental,5-room apartment and more,250.0,2500.0,27/11/2023
Monastir,Monastir,Monastir,Rental,1-room apartment,61.0,900.0,03/10/2023
Sousse,Kalaa El Kebira,Kalaa El Kebira,Rental,Houses,210.0,750.0,22/08/2023
Tunis,La Marsa,La Marsa,Offices & Shops,Surfaces,240.0,1500.0,13/09/2023
Ariana,Ariana Ville,Ariana Ville,Sale,4-room apartment,98.0,105000.0,30/03/2023
Nabeul,El Haouaria,El Haouaria,Land,Vacant land,250.0,62000.0,02/10/2023
Tunis,La Marsa,La Marsa,Sale,2-room apartment,70.0,267000.0,03/11/2023
Ariana,La Soukra,La Soukra,Land,Vacant land,33000.0,19800.0,06/06/2023
Nabeul,Soliman,Soliman,Sale,Houses,652.0,450000.0,17/11/2023
Nabeul,Beni Khiar,Beni Khiar,Sale,Houses,370.0,700000.0,19/09/2023
Ben arous,El Mourouj,El Mourouj,Sale,3-room apartment,73.0,110000.0,06/10/2023
Nabeul,Takelsa,Takelsa,Land,Agricultural land,5650.0,200000.0,20/12/2022
Tunis,La Marsa,La Marsa,Rental,3-room apartment,130.0,1100.0,13/09/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,335.0,1600000.0,02/12/2023
Ariana,La Soukra,La Soukra,Rental,4-room apartment,1.0,1700.0,10/10/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,235.0,850000.0,27/11/2023
Tunis,Ezzouhour (Tunis),Ezzouhour (Tunis),Rental,Houses,210.0,440.0,02/12/2023
Nabeul,Hammamet,Hammamet,Sale,5-room apartment and more,360.0,880000.0,19/09/2023
Tunis,La Marsa,La Marsa,Sale,3-room apartment,125.0,330000.0,03/11/2023
Tunis,La Marsa,La Marsa,Rental,1-room apartment,50.0,450.0,28/11/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,708.0,535000.0,06/09/2023
Nabeul,Hammamet,Hammamet,Land,Vacant land,240.0,336000.0,16/11/2023
Ariana,Raoued,Raoued,Rental,4-room apartment,130.0,650.0,19/10/2023
Ben arous,Rades,Rades,Land,Vacant land,462.0,369600.0,06/12/2022
Sfax,Sfax Ville,Sfax Ville,Rental,2-room apartment,70.0,530.0,05/09/2023
Ben arous,El Mourouj,El Mourouj,Sale,4-room apartment,124.0,235000.0,08/08/2023
Sousse,Bou Ficha,Bou Ficha,Sale,Houses,400.0,750000.0,18/11/2023
Ariana,Ariana Ville,Ariana Ville,Rental,5-room apartment and more,200.0,1700.0,02/11/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,370.0,1250000.0,24/11/2023
Nabeul,Kelibia,Kelibia,Sale,Surfaces,246.0,150000.0,23/10/2023
Monastir,Monastir,Monastir,Land,Vacant land,350.0,297500.0,18/10/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Rental,3-room apartment,1.0,1350.0,30/03/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,220.0,870000.0,06/11/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,400.0,890000.0,24/11/2023
Ariana,La Soukra,La Soukra,Rental,Surfaces,700.0,3100.0,23/09/2021
Nabeul,Dar Chaabane Elfehri,Dar Chaabane Elfehri,Rental,2-room apartment,65.0,600.0,17/11/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,280.0,850000.0,19/10/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Rental,3-room apartment,1.0,2310.0,17/08/2023
Tunis,El Kabbaria,El Kabbaria,Rental,3-room apartment,80.0,600.0,12/09/2023
Sousse,Kalaa Essghira,Kalaa Essghira,Land,Vacant land,320.0,25000.0,24/07/2023
Tunis,La Marsa,La Marsa,Offices & Shops,Surfaces,40.0,500.0,01/12/2023
Nabeul,Hammamet,Hammamet,Land,Vacant land,460.0,193200.0,16/10/2023
Nabeul,Hammamet,Hammamet,Rental,Other,600.0,24000.0,25/11/2022
Sfax,Sfax Ville,Sfax Ville,Sale,Houses,250.0,200000.0,22/05/2023
Tunis,La Marsa,La Marsa,Sale,4-room apartment,161.0,495000.0,07/11/2023
Nabeul,Kelibia,Kelibia,Sale,Houses,140.0,130000.0,07/07/2023
Ben arous,El Mourouj,El Mourouj,Rental,3-room apartment,100.0,500.0,30/10/2023
Zaghouan,Bir Mcherga,Bir Mcherga,Rental,Other,3000.0,15000.0,12/09/2023
Tunis,La Marsa,La Marsa,Offices & Shops,Surfaces,1000.0,12000.0,15/09/2023
Sfax,Sfax Ville,Sfax Ville,Land,Vacant land,750.0,127500.0,29/09/2023
Ben arous,Fouchana,Fouchana,Rental,Other,1200.0,12000.0,27/11/2022
Ben arous,El Mourouj,El Mourouj,Rental,Houses,75.0,550.0,30/10/2023
Sousse,Sousse Riadh,Sousse Riadh,Land,Vacant land,250.0,67500.0,08/09/2023
Sousse,Sousse Jaouhara,Sousse Jaouhara,Rental,3-room apartment,105.0,650.0,09/07/2023
Nabeul,Nabeul,Nabeul,Rental,Surfaces,16000.0,96000.0,16/03/2023
Tunis,La Marsa,La Marsa,Rental,4-room apartment,200.0,3200.0,11/10/2023
Zaghouan,Zaghouan,Zaghouan,Land,Agricultural land,4700.0,30000.0,19/09/2023
Tunis,Bab Bhar,Bab Bhar,Sale,Other,330.0,950000.0,30/01/2023
Tunis,El Menzah,El Menzah,Offices & Shops,Office,750.0,12000.0,25/05/2022
Ben arous,Hammam Chatt,Hammam Chatt,Sale,Surfaces,2000.0,2800000.0,18/10/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,330.0,890000.0,06/09/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Rental,2-room apartment,1.0,1500.0,06/04/2023
Ariana,La Soukra,La Soukra,Rental,2-room apartment,1.0,450.0,29/08/2023
Tunis,El Menzah,El Menzah,Sale,2-room apartment,80.0,280000.0,11/11/2023
Ben arous,Rades,Rades,Sale,Houses,450.0,600000.0,26/05/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,370.0,1300000.0,07/10/2023
Sousse,Hammam Sousse,Hammam Sousse,Sale,3-room apartment,106.0,175000.0,08/10/2023
Tunis,El Menzah,El Menzah,Rental,Houses,250.0,2700.0,13/10/2023
Ariana,Ariana Ville,Ariana Ville,Sale,Houses,240.0,6200000.0,21/08/2023
Ariana,Ariana Ville,Ariana Ville,Land,Vacant land,428.0,280000.0,03/09/2023
Ariana,Ariana Ville,Ariana Ville,Sale,4-room apartment,200.0,520000.0,09/10/2023
Nabeul,Kelibia,Kelibia,Rental,4-room apartment,200.0,850.0,22/08/2023
Nabeul,El Haouaria,El Haouaria,Sale,Houses,250.0,10000.0,13/09/2023
Tunis,La Marsa,La Marsa,Rental,3-room apartment,124.0,1200.0,08/11/2023
Tunis,Cite El Khadra,Cite El Khadra,Sale,Duplex,140.0,300000.0,12/08/2023
Ariana,La Soukra,La Soukra,Sale,Houses,312.0,310000.0,09/09/2023
Monastir,Monastir,Monastir,Rental,5-room apartment and more,95.0,1100.0,30/11/2023
Ariana,La Soukra,La Soukra,Sale,3-room apartment,165.0,520000.0,12/11/2021
Tunis,Bab Bhar,Bab Bhar,Rental,Other,7.0,250.0,11/10/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Rental,3-room apartment,150.0,2000.0,17/07/2023
Nabeul,Hammamet,Hammamet,Land,Vacant land,1000.0,470000.0,02/12/2023
Tunis,La Marsa,La Marsa,Rental,1-room apartment,65.0,1150.0,17/11/2023
Ariana,Raoued,Raoued,Sale,Houses,335.0,450000.0,18/11/2023
Tunis,La Marsa,La Marsa,Land,Vacant land,500.0,2100000.0,19/10/2023
Tunis,El Menzah,El Menzah,Rental,Houses,1.0,2500.0,30/11/2023
Nabeul,Hammamet,Hammamet,Land,Vacant land,5000.0,1000000.0,03/10/2023
Tunis,Bab Bhar,Bab Bhar,Offices & Shops,Business property,26.0,45000.0,28/07/2023
Tunis,El Menzah,El Menzah,Rental,3-room apartment,100.0,700.0,21/11/2023
Ben arous,Fouchana,Fouchana,Sale,Houses,130.0,180000.0,08/10/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,240.0,920000.0,09/09/2023
Nabeul,Hammamet,Hammamet,Rental,3-room apartment,100.0,900.0,04/12/2023
Nabeul,Kelibia,Kelibia,Land,Vacant land,500.0,60000.0,08/03/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,240.0,800000.0,06/11/2023
Nabeul,Beni Khiar,Beni Khiar,Land,Vacant land,1197.0,359000.0,29/11/2023
Zaghouan,Bir Mcherga,Bir Mcherga,Land,Agricultural land,720000.0,870000.0,06/01/2023
Nabeul,Hammamet,Hammamet,Sale,3-room apartment,130.0,470000.0,28/11/2023
Sfax,Sakiet Eddaier,Sakiet Eddaier,Land,Vacant land,16910.0,4500000.0,19/10/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,250.0,950000.0,02/11/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,400.0,950000.0,22/09/2023
Tunis,La Marsa,La Marsa,Sale,Houses,85.0,320000.0,08/06/2023
Siliana,Makthar,Makthar,Sale,Houses,120.0,100000.0,19/11/2023
Zaghouan,Bir Mcherga,Bir Mcherga,Land,Agricultural land,20000.0,175000.0,17/03/2023
Ariana,La Soukra,La Soukra,Land,Vacant land,384.0,220000.0,07/08/2023
Ben arous,Hammam Chatt,Hammam Chatt,Vacation rental,Houses,250.0,450.0,27/07/2023
Bizerte,Bizerte Nord,Bizerte Nord,Rental,2-room apartment,60.0,650.0,22/08/2023
Jendouba,Jendouba,Jendouba,Sale,Houses,520.0,820000.0,11/11/2023
Ben arous,Nouvelle Medina,Nouvelle Medina,Sale,Houses,450.0,1150000.0,05/12/2023
Tunis,La Marsa,La Marsa,Sale,3-room apartment,154.0,345000.0,16/11/2023
Tunis,La Marsa,La Marsa,Sale,4-room apartment,153.0,280000.0,16/08/2023
Nabeul,Hammamet,Hammamet,Rental,Houses,450.0,5000.0,30/10/2023
Tunis,Le Bardo,Le Bardo,Rental,2-room apartment,50.0,600.0,18/09/2023
Tunis,El Menzah,El Menzah,Rental,Other,280.0,3800.0,29/09/2023
Tunis,El Menzah,El Menzah,Rental,Houses,80.0,900.0,05/12/2023
Tunis,Cite El Khadra,Cite El Khadra,Rental,Other,1850.0,35000.0,18/11/2022
Tunis,La Marsa,La Marsa,Rental,Duplex,300.0,3600.0,06/09/2023
Tunis,La Marsa,La Marsa,Sale,Houses,150.0,330000.0,20/11/2023
Nabeul,Hammamet,Hammamet,Land,Vacant land,1000.0,130000.0,02/12/2023
Tunis,El Ouerdia,El Ouerdia,Rental,2-room apartment,76.0,360.0,06/08/2023
Nabeul,Dar Chaabane Elfehri,Dar Chaabane Elfehri,Rental,2-room apartment,60.0,600.0,30/10/2023
Tunis,Bab Bhar,Bab Bhar,Rental,3-room apartment,1.0,850.0,06/12/2023
Tunis,Bab Bhar,Bab Bhar,Rental,Other,360.0,10000.0,19/01/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Rental,5-room apartment and more,1.0,3000.0,09/06/2023
Nabeul,Hammamet,Hammamet,Land,Vacant land,591.0,679650.0,01/12/2022
Ariana,La Soukra,La Soukra,Sale,Houses,400.0,410000.0,18/10/2022
Sousse,Sousse Riadh,Sousse Riadh,Sale,Houses,228.0,350000.0,07/06/2023
Ariana,Ariana Ville,Ariana Ville,Sale,3-room apartment,126.0,232000.0,05/12/2023
Tunis,Bab Bhar,Bab Bhar,Rental,2-room apartment,40.0,400.0,21/05/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,300.0,750000.0,12/09/2023
Ariana,Ariana Ville,Ariana Ville,Vacation rental,2-room apartment,20.0,1200.0,03/08/2021
Nabeul,Hammamet,Hammamet,Land,Vacant land,413.0,230000.0,12/09/2020
Sousse,Hammam Sousse,Hammam Sousse,Rental,4-room apartment,100.0,2000.0,31/10/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Rental,4-room apartment,1.0,4500.0,07/02/2023
Tunis,Bab Bhar,Bab Bhar,Offices & Shops,Office,120.0,1750.0,11/08/2023
Nabeul,Hammamet,Hammamet,Sale,3-room apartment,80.0,220000.0,16/11/2023
Sidi bouzid,Mezzouna,Mezzouna,Land,Agricultural land,100.0,800000.0,15/09/2023
Nabeul,Beni Khiar,Beni Khiar,Offices & Shops,Surfaces,86.0,100000.0,21/11/2023
Tunis,Carthage,Carthage,Rental,Houses,300.0,5000.0,30/10/2023
Ariana,Mnihla,Mnihla,Rental,4-room apartment,120.0,1200.0,07/09/2023
Tunis,Bab Bhar,Bab Bhar,Rental,1-room apartment,1.0,380.0,13/10/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Rental,3-room apartment,1.0,2200.0,25/04/2023
Gafsa,Gafsa Sud,Gafsa Sud,Land,Vacant land,500.0,175000.0,15/10/2023
Ben arous,Hammam Lif,Hammam Lif,Sale,4-room apartment,127.0,230000.0,28/11/2023
Tunis,Le Bardo,Le Bardo,Rental,1-room apartment,16.0,330.0,16/10/2023
Tunis,Carthage,Carthage,Sale,Houses,280.0,2100000.0,04/11/2023
Tunis,La Marsa,La Marsa,Rental,2-room apartment,1.0,1600.0,07/08/2023
Sousse,Hammam Sousse,Hammam Sousse,Land,Vacant land,427.0,215000.0,20/06/2023
Nabeul,Hammamet,Hammamet,Rental,1-room apartment,70.0,150.0,05/06/2023
Tunis,Carthage,Carthage,Rental,Houses,750.0,9000.0,16/08/2023
Ben arous,Nouvelle Medina,Nouvelle Medina,Land,Vacant land,435.0,430650.0,29/11/2023
Sfax,Sfax Ville,Sfax Ville,Sale,Other,13.0,30000.0,23/09/2021
Nabeul,Kelibia,Kelibia,Sale,Houses,369.0,230000.0,28/03/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,450.0,950000.0,29/11/2023
Sfax,Sakiet Ezzit,Sakiet Ezzit,Rental,3-room apartment,130.0,650.0,04/11/2023
Ariana,La Soukra,La Soukra,Rental,2-room apartment,70.0,850.0,23/10/2023
Nabeul,Hammamet,Hammamet,Rental,2-room apartment,80.0,800.0,04/10/2023
Ariana,La Soukra,La Soukra,Rental,Duplex,1.0,3200.0,07/11/2023
Ben arous,Ben Arous,Ben Arous,Rental,Surfaces,6000.0,39500.0,28/02/2023
Ariana,La Soukra,La Soukra,Rental,3-room apartment,1.0,1600.0,05/12/2023
